sku,base_image,errors
10001,10001*,"Wrong URL/path used for attribute image"
10001-S,10001-S*,"Wrong URL/path used for attribute image"
10003,10003*,"Wrong URL/path used for attribute image"
10004,10003*,"Wrong URL/path used for attribute image"
10005,10003*,"Wrong URL/path used for attribute image"
10006,10003*,"Wrong URL/path used for attribute image"
10007,10003*,"Wrong URL/path used for attribute image"
10008,10003*,"Wrong URL/path used for attribute image"
10009,10003*,"Wrong URL/path used for attribute image"
10010,10003*,"Wrong URL/path used for attribute image"
10011,10003*,"Wrong URL/path used for attribute image"
10012,10003*,"Wrong URL/path used for attribute image"
10013,10003*,"Wrong URL/path used for attribute image"
10057,10057*,"Wrong URL/path used for attribute image"
10060,10060*,"Wrong URL/path used for attribute image"
10062,10062*,"Wrong URL/path used for attribute image"
10063,10063*,"Wrong URL/path used for attribute image"
10094,10094*,"Wrong URL/path used for attribute image"
10094-M,10094-M*,"Wrong URL/path used for attribute image"
10137-DBE,10137-DBE*,"Wrong URL/path used for attribute image"
10137-LGN,10137-LGN*,"Wrong URL/path used for attribute image"
10145,10145*,"Wrong URL/path used for attribute image"
10155,10155*,"Wrong URL/path used for attribute image"
10156,10156*,"Wrong URL/path used for attribute image"
10157,10157*,"Wrong URL/path used for attribute image"
10158,10158*,"Wrong URL/path used for attribute image"
10159,10159*,"Wrong URL/path used for attribute image"
10178,10178*,"Wrong URL/path used for attribute image"
10180-BE,10180-BE*,"Wrong URL/path used for attribute image"
10180-BK,10180-BK*,"Wrong URL/path used for attribute image"
10180-RD,10180-RD*,"Wrong URL/path used for attribute image"
10192,10192*,"Wrong URL/path used for attribute image"
10193-M,10193-M*,"Wrong URL/path used for attribute image"
10193-S,10193-S*,"Wrong URL/path used for attribute image"
10201-RD,10201-RD*,"Wrong URL/path used for attribute image"
10201-S,10201-S*,"Wrong URL/path used for attribute image"
10203,10203*,"Wrong URL/path used for attribute image"
10204,10204*,"Wrong URL/path used for attribute image"
10210,10210*,"Wrong URL/path used for attribute image"
10211,10211*,"Wrong URL/path used for attribute image"
10212,10212*,"Wrong URL/path used for attribute image"
10230,10230*,"Wrong URL/path used for attribute image"
10246-RD,10246-RD*,"Wrong URL/path used for attribute image"
10251,10251*,"Wrong URL/path used for attribute image"
10252,10252*,"Wrong URL/path used for attribute image"
10258,10258*,"Wrong URL/path used for attribute image"
10259,10259*,"Wrong URL/path used for attribute image"
10260,10260*,"Wrong URL/path used for attribute image"
10261,10261*,"Wrong URL/path used for attribute image"
10262-MG,10262-MG*,"Wrong URL/path used for attribute image"
10264-WE,10264-WE*,"Wrong URL/path used for attribute image"
10266,10266*,"Wrong URL/path used for attribute image"
10268,10268*,"Wrong URL/path used for attribute image"
10269-BK,10269-BK*,"Wrong URL/path used for attribute image"
10274,10274*,"Wrong URL/path used for attribute image"
10275,10275*,"Wrong URL/path used for attribute image"
10280,10280*,"Wrong URL/path used for attribute image"
10281,10281*,"Wrong URL/path used for attribute image"
10282,10282*,"Wrong URL/path used for attribute image"
10283,10283*,"Wrong URL/path used for attribute image"
10284,10284*,"Wrong URL/path used for attribute image"
10284-M,10284-M*,"Wrong URL/path used for attribute image"
10285-BE,10285-BE*,"Wrong URL/path used for attribute image"
10285-BK,10285-BK*,"Wrong URL/path used for attribute image"
10286-BK,10286-BK*,"Wrong URL/path used for attribute image"
