sku,base_image,errors
10001,10001_*.jpg,"Wrong URL/path used for attribute image"
10001-S,10001-S_*.jpg,"Wrong URL/path used for attribute image"
10003,10003_*.jpg,"Wrong URL/path used for attribute image"
10004,10003_*.jpg,"Wrong URL/path used for attribute image"
10005,10003_*.jpg,"Wrong URL/path used for attribute image"
10006,10003_*.jpg,"Wrong URL/path used for attribute image"
10007,10003_*.jpg,"Wrong URL/path used for attribute image"
10008,10003_*.jpg,"Wrong URL/path used for attribute image"
10009,10003_*.jpg,"Wrong URL/path used for attribute image"
10010,10003_*.jpg,"Wrong URL/path used for attribute image"
10011,10003_*.jpg,"Wrong URL/path used for attribute image"
10012,10003_*.jpg,"Wrong URL/path used for attribute image"
10013,10003_*.jpg,"Wrong URL/path used for attribute image"
10057,10057_*.jpg,"Wrong URL/path used for attribute image"
10060,10060_*.jpg,"Wrong URL/path used for attribute image"
10062,10062_*.jpg,"Wrong URL/path used for attribute image"
10063,10063_*.jpg,"Wrong URL/path used for attribute image"
10094,10094_*.jpg,"Wrong URL/path used for attribute image"
10094-M,10094-M_*.jpg,"Wrong URL/path used for attribute image"
10137-DBE,10137-DBE_*.jpg,"Wrong URL/path used for attribute image"
10137-LGN,10137-LGN_*.jpg,"Wrong URL/path used for attribute image"
10145,10145_*.jpg,"Wrong URL/path used for attribute image"
10155,10155_*.jpg,"Wrong URL/path used for attribute image"
10156,10156_*.jpg,"Wrong URL/path used for attribute image"
10157,10157_*.jpg,"Wrong URL/path used for attribute image"
10158,10158_*.jpg,"Wrong URL/path used for attribute image"
10159,10159_*.jpg,"Wrong URL/path used for attribute image"
10178,10178_*.jpg,"Wrong URL/path used for attribute image"
10180-BE,10180-BE_*.jpg,"Wrong URL/path used for attribute image"
10180-BK,10180-BK_*.jpg,"Wrong URL/path used for attribute image"
10180-RD,10180-RD_*.jpg,"Wrong URL/path used for attribute image"
10192,10192_*.jpg,"Wrong URL/path used for attribute image"
10193-M,10193-M_*.jpg,"Wrong URL/path used for attribute image"
10193-S,10193-S_*.jpg,"Wrong URL/path used for attribute image"
10201-RD,10201-RD_*.jpg,"Wrong URL/path used for attribute image"
10201-S,10201-S_*.jpg,"Wrong URL/path used for attribute image"
10203,10203_*.jpg,"Wrong URL/path used for attribute image"
10204,10204_*.jpg,"Wrong URL/path used for attribute image"
10210,10210_*.jpg,"Wrong URL/path used for attribute image"
10211,10211_*.jpg,"Wrong URL/path used for attribute image"
10212,10212_*.jpg,"Wrong URL/path used for attribute image"
10230,10230_*.jpg,"Wrong URL/path used for attribute image"
10246-RD,10246-RD_*.jpg,"Wrong URL/path used for attribute image"
