sku,price
10001,1.420
10001-S,1.690
10003,1.780
10004,1.780
10005,1.780
10006,1.780
10007,1.780
10008,1.780
10009,1.780
10010,1.780
10011,1.780
10012,1.780
10013,1.780
10057,1.680
10060,1.880
10062,2.090
10063,1.880
10094,3.460
10094-M,3.460
10137-DBE,2.720
10137-LGN,2.720
10145,3.460
10155,1.600
10156,1.600
10157,1.560
10158,1.590
10159,1.590
10178,1.460
10180-BE,1.430
10180-BK,1.430
10180-RD,1.430
10192,2.480
10193-M,2.420
10193-S,2.420
10201-RD,2.930
10201-S,2.480
10203,3.250
10204,3.550
10210,2.590
10211,2.130
10212,2.590
10230,2.420
10246-RD,1.280
10251,2.820
10252,3.720
10258,3.130
10259,1.990
10260,2.190
10261,1.990
10262-MG,4.190
10264-WE,2.400
10266,5.820
10268,3.350
10269-BK,3.720
10274,2.990
10275,5.030
10280,1.280
10281,1.280
10282,2.390
10283,3.130
10284,1.680
10284-M,1.460
10285-BE,1.880
10285-BK,1.880
10286-BK,0.830
10286-WE,0.830
10289,2.720
10290,2.400
10291,2.720
10292,2.820
10294,1.560
10295-BK,0.690
10295-SR,0.690
10296-BK,0.490
10296-SR,0.490
10297-BK,1.030
10297-DBE,1.030
10297-DGN,1.030
10297-GD,1.030
10297-OE,1.030
10297-SR,1.030
10298-BK,0.560
10298-RD,0.560
10300-GM,2.930
10301-GM,3.130
10303-BK,0.920
10303-DBE,0.920
10303-DGY,0.920
10303-LGN,0.920
10303-OE,0.920
10303-RD,0.920
10303-SR,0.920
10306,2.090
10307,1.680
10308,2.090
10309-BE,1.180
10309-BK,1.180
10309-LBE,1.180
10309-LGN,1.180
10309-LMG,1.180
10309-OE,1.180
10309-PE,1.180
10309-RD,1.180
10309-WE,1.180
10311,1.780
10312,1.780
10313,1.780
10314,1.780
10315,1.960
10316,2.500
10317,2.500
10318,2.500
10319,1.560
10320,2.620
10321-BK,2.090
10322,1.560
10325-BE,3.490
10325-DGY,3.490
10327,1.700
10328,1.700
10329,1.700
10330,1.700
10331,1.700
10332,1.700
10333,1.850
10334,1.850
10335,1.850
10336,2.690
10337,2.490
10338-BE,1.690
10338-BK,1.690
10338-LGN,1.690
10338-RD,1.690
10338-WE,1.690
10338-YW,1.690
10339-BE,1.690
10339-BK,1.690
10339-LGN,1.690
10339-RD,1.690
10339-WE,1.690
10339-YW,1.690
10340-BE,0.390
10340-RD,0.390
10341-BE,0.390
10341-BK,0.390
10341-OE,0.390
10341-RD,0.390
10341-WE,0.390
