sku,price,errors
10001,1.420,"Product Type is invalid or not supported"
10001-S,1.690,"Product Type is invalid or not supported"
10003,1.780,"Product Type is invalid or not supported"
10004,1.780,"Product Type is invalid or not supported"
10005,1.780,"Product Type is invalid or not supported"
10006,1.780,"Product Type is invalid or not supported"
10007,1.780,"Product Type is invalid or not supported"
10008,1.780,"Product Type is invalid or not supported"
10009,1.780,"Product Type is invalid or not supported"
10010,1.780,"Product Type is invalid or not supported"
10011,1.780,"Product Type is invalid or not supported"
10012,1.780,"Product Type is invalid or not supported"
10013,1.780,"Product Type is invalid or not supported"
10057,1.680,"Product Type is invalid or not supported"
10060,1.880,"Product Type is invalid or not supported"
10062,2.090,"Product Type is invalid or not supported"
10063,1.880,"Product Type is invalid or not supported"
10094,3.460,"Product Type is invalid or not supported"
10094-M,3.460,"Product Type is invalid or not supported"
10137-DBE,2.720,"Product Type is invalid or not supported"
10137-LGN,2.720,"Product Type is invalid or not supported"
10145,3.460,"Product Type is invalid or not supported"
10155,1.600,"Product Type is invalid or not supported"
10156,1.600,"Product Type is invalid or not supported"
10157,1.560,"Product Type is invalid or not supported"
10158,1.590,"Product Type is invalid or not supported"
10159,1.590,"Product Type is invalid or not supported"
10178,1.460,"Product Type is invalid or not supported"
10180-BE,1.430,"Product Type is invalid or not supported"
10180-BK,1.430,"Product Type is invalid or not supported"
10180-RD,1.430,"Product Type is invalid or not supported"
10192,2.480,"Product Type is invalid or not supported"
10193-M,2.420,"Product Type is invalid or not supported"
10193-S,2.420,"Product Type is invalid or not supported"
10201-RD,2.930,"Product Type is invalid or not supported"
10201-S,2.480,"Product Type is invalid or not supported"
10203,3.250,"Product Type is invalid or not supported"
10204,3.550,"Product Type is invalid or not supported"
10210,2.590,"Product Type is invalid or not supported"
10211,2.130,"Product Type is invalid or not supported"
10212,2.590,"Product Type is invalid or not supported"
10230,2.420,"Product Type is invalid or not supported"
10246-RD,1.280,"Product Type is invalid or not supported"
10251,2.820,"Product Type is invalid or not supported"
10252,3.720,"Product Type is invalid or not supported"
10258,3.130,"Product Type is invalid or not supported"
10259,1.990,"Product Type is invalid or not supported"
10260,2.190,"Product Type is invalid or not supported"
10261,1.990,"Product Type is invalid or not supported"
10262-MG,4.190,"Product Type is invalid or not supported"
10264-WE,2.400,"Product Type is invalid or not supported"
10266,5.820,"Product Type is invalid or not supported"
10268,3.350,"Product Type is invalid or not supported"
10269-BK,3.720,"Product Type is invalid or not supported"
10274,2.990,"Product Type is invalid or not supported"
10275,5.030,"Product Type is invalid or not supported"
10280,1.280,"Product Type is invalid or not supported"
10281,1.280,"Product Type is invalid or not supported"
10282,2.390,"Product Type is invalid or not supported"
10283,3.130,"Product Type is invalid or not supported"
10284,1.680,"Product Type is invalid or not supported"
10284-M,1.460,"Product Type is invalid or not supported"
10285-BE,1.880,"Product Type is invalid or not supported"
10285-BK,1.880,"Product Type is invalid or not supported"
10286-BK,0.830,"Product Type is invalid or not supported"
10286-WE,0.830,"Product Type is invalid or not supported"
10289,2.720,"Product Type is invalid or not supported"
10290,2.400,"Product Type is invalid or not supported"
10291,2.720,"Product Type is invalid or not supported"
10292,2.820,"Product Type is invalid or not supported"
10294,1.560,"Product Type is invalid or not supported"
10295-BK,0.690,"Product Type is invalid or not supported"
10295-SR,0.690,"Product Type is invalid or not supported"
10296-BK,0.490,"Product Type is invalid or not supported"
10296-SR,0.490,"Product Type is invalid or not supported"
10297-BK,1.030,"Product Type is invalid or not supported"
10297-DBE,1.030,"Product Type is invalid or not supported"
10297-DGN,1.030,"Product Type is invalid or not supported"
10297-GD,1.030,"Product Type is invalid or not supported"
10297-OE,1.030,"Product Type is invalid or not supported"
10297-SR,1.030,"Product Type is invalid or not supported"
10298-BK,0.560,"Product Type is invalid or not supported"
10298-RD,0.560,"Product Type is invalid or not supported"
10300-GM,2.930,"Product Type is invalid or not supported"
10301-GM,3.130,"Product Type is invalid or not supported"
10303-BK,0.920,"Product Type is invalid or not supported"
10303-DBE,0.920,"Product Type is invalid or not supported"
10303-DGY,0.920,"Product Type is invalid or not supported"
10303-LGN,0.920,"Product Type is invalid or not supported"
10303-OE,0.920,"Product Type is invalid or not supported"
