sku,qty,price
10001,100000,"1,420"
10001-S,100000,"1,690"
10003,100000,"1,780"
10004,100000,"1,780"
10005,100000,"1,780"
10006,100000,"1,780"
10007,100000,"1,780"
10008,100000,"1,780"
10009,100000,"1,780"
10010,100000,"1,780"
10011,100000,"1,780"
10012,100000,"1,780"
10013,100000,"1,780"
10057,100000,"1,680"
10060,100000,"1,880"
10062,100000,"2,090"
10063,100000,"1,880"
10094,100000,"3,460"
10094-M,100000,"3,460"
10137-DBE,100000,"2,720"
10137-LGN,100000,"2,720"
10145,100000,"3,460"
10155,100000,"1,600"
10156,100000,"1,600"
10157,100000,"1,560"
10158,100000,"1,590"
10159,100000,"1,590"
10178,100000,"1,460"
10180-BE,100000,"1,430"
10180-BK,100000,"1,430"
10180-RD,100000,"1,430"
10192,100000,"2,480"
10193-M,100000,"2,420"
10193-S,100000,"2,420"
10201-RD,100000,"2,930"
10201-S,100000,"2,480"
10203,100000,"3,250"
10204,100000,"3,550"
10210,100000,"2,590"
10211,100000,"2,130"
10212,100000,"2,590"
10230,100000,"2,420"
10246-RD,100000,"1,280"
10251,100000,"2,820"
10252,100000,"3,720"
10258,100000,"3,130"
10259,100000,"1,990"
10260,100000,"2,190"
10261,100000,"1,990"
10262-MG,100000,"4,190"
10264-WE,100000,"2,400"
10266,100000,"5,820"
10268,100000,"3,350"
10269-BK,100000,"3,720"
10274,100000,"2,990"
10275,100000,"5,030"
10280,100000,"1,280"
10281,100000,"1,280"
10282,100000,"2,390"
10283,100000,"3,130"
10284,100000,"1,680"
10284-M,100000,"1,460"
10285-BE,100000,"1,880"
10285-BK,100000,"1,880"
10286-BK,100000,"0,830"
10286-WE,100000,"0,830"
10289,100000,"2,720"
10290,100000,"2,400"
10291,100000,"2,720"
10292,100000,"2,820"
10294,100000,"1,560"
10295-BK,100000,"0,690"
10295-SR,100000,"0,690"
10296-BK,100000,"0,490"
10296-SR,100000,"0,490"
10297-BK,100000,"1,030"
10297-DBE,100000,"1,030"
10297-DGN,100000,"1,030"
10297-GD,100000,"1,030"
10297-OE,100000,"1,030"
10297-SR,100000,"1,030"
10298-BK,100000,"0,560"
10298-RD,100000,"0,560"
10300-GM,100000,"2,930"
10301-GM,100000,"3,130"
10303-BK,100000,"0,920"
10303-DBE,100000,"0,920"
10303-DGY,100000,"0,920"
10303-LGN,100000,"0,920"
10303-OE,100000,"0,920"
10303-RD,100000,"0,920"
10303-SR,100000,"0,920"
10306,100000,"2,090"
10307,100000,"1,680"
10308,100000,"2,090"
10309-BE,100000,"1,180"
10309-BK,100000,"1,180"
10309-LBE,100000,"1,180"
10309-LGN,100000,"1,180"
10309-LMG,100000,"1,180"
10309-OE,100000,"1,180"
10309-PE,100000,"1,180"
10309-RD,100000,"1,180"
10309-WE,100000,"1,180"
10311,100000,"1,780"
10312,100000,"1,780"
10313,100000,"1,780"
10314,100000,"1,780"
10315,100000,"1,960"
10316,100000,"2,500"
10317,100000,"2,500"
10318,100000,"2,500"
10319,100000,"1,560"
10320,100000,"2,620"
10321-BK,100000,"2,090"
10322,100000,"1,560"
10325-BE,100000,"3,490"
10325-DGY,100000,"3,490"
10327,100000,"1,700"
10328,100000,"1,700"
10329,100000,"1,700"
10330,100000,"1,700"
10331,100000,"1,700"
10332,100000,"1,700"
10333,100000,"1,850"
10334,100000,"1,850"
10335,100000,"1,850"
10336,100000,"2,690"
10337,100000,"2,490"
10338-BE,100000,"1,690"
10338-BK,100000,"1,690"
10338-LGN,100000,"1,690"
10338-RD,100000,"1,690"
10338-WE,100000,"1,690"
10338-YW,100000,"1,690"
10339-BE,100000,"1,690"
10339-BK,100000,"1,690"
10339-LGN,100000,"1,690"
10339-RD,100000,"1,690"
10339-WE,100000,"1,690"
10339-YW,100000,"1,690"
10340-BE,100000,"0,390"
10340-RD,100000,"0,390"
10341-BE,100000,"0,390"
10341-BK,100000,"0,390"
10341-OE,100000,"0,390"
10341-RD,100000,"0,390"
10341-WE,100000,"0,390"
10341-YW,100000,"0,390"
19011-SR/W,100000,"1,990"
19013-SR/W,100000,"2,290"
19017,100000,"6,460"
19018,100000,"6,150"
19022,100000,"7,330"
19023,100000,"15,730"
19027,100000,"49,330"
19031,100000,"10,450"
19033,100000,"3,460"
19036,100000,"1,990"
19037,100000,"3,560"
19039,100000,"2,620"
19040-BK,100000,"1,850"
19040-SR,100000,"1,850"
19042,100000,"8,720"
19043-BE,100000,"1,950"
19043-BK,100000,"1,950"
19043-RD,100000,"1,950"
19043-SR,100000,"1,950"
19044,100000,"7,330"
19045,100000,"7,330"
19046-BE,100000,"1,030"
19046-BK,100000,"1,030"
19046-RD,100000,"1,030"
19046-SR,100000,"1,030"
19047-BK,100000,"1,880"
19047-SR,100000,"1,880"
19048,100000,"1,990"
2010020,100000,"3,090"
2010052,100000,"1,360"
2010120,100000,"3,120"
2010138,100000,"6,700"
2010158,100000,"0,580"
2010159,100000,"0,580"
2010200,100000,"0,390"
2010201,100000,"0,390"
2050331,100000,"2,090"
2060018,100000,"5,820"
3010020,100000,"3,090"
3010158,100000,"0,580"
3010200,100000,"0,390"
4010158,100000,"0,580"
50002,100000,"3,350"
50007-M,100000,"8,390"
50013-M,100000,"9,960"
50015,100000,"2,190"
50019,100000,"1,560"
50020,100000,"1,560"
50021,100000,"1,560"
50022,100000,"1,560"
50038,100000,"3,250"
50042,100000,"2,620"
50046,100000,"5,230"
50046-M,100000,"5,230"
50057,100000,"2,290"
50058,100000,"3,720"
50061,100000,"14,280"
50072-M,100000,"5,200"
5010158,100000,"0,580"
50103,100000,"3,780"
50108,100000,"19,990"
50178,100000,"3,550"
50185,100000,"12,430"
50192,100000,"2,190"
50240,100000,"3,460"
50264,100000,"3,290"
50290,100000,"16,790"
50306,100000,"3,350"
50314,100000,"7,330"
50334,100000,"22,360"
50347,100000,"4,290"
50347-DGY,100000,"4,290"
50347-OE,100000,"4,290"
50354,100000,"9,990"
50354-DGY,100000,"9,990"
50403,100000,"28,290"
50439,100000,"13,580"
50464,100000,"30,020"
50485,100000,"6,700"
50524,100000,"4,990"
50542,100000,"24,560"
50581,100000,"5,200"
50588,100000,"3,720"
50589,100000,"5,560"
50592,100000,"20,520"
50601,100000,"3,250"
50611,100000,"7,330"
50612-SR,100000,"2,720"
50615,100000,"1,590"
50616,100000,"0,980"
50617-SR,100000,"1,100"
50623,100000,"6,200"
50636,100000,"36,900"
50652-BE,100000,"3,720"
50656,100000,"4,600"
50660,100000,"9,330"
50664,100000,"2,720"
50672,100000,"2,300"
50673,100000,"7,450"
50674,100000,"4,390"
50675,100000,"4,690"
50679,100000,"3,980"
50682,100000,"11,030"
50690-BE,100000,"1,560"
50690-GY,100000,"1,560"
50690-SR,100000,"1,560"
50694-BE,100000,"3,690"
50694-BK,100000,"3,690"
50694-BKR,100000,"3,690"
50694-DGN,100000,"3,690"
50694-LRD,100000,"3,690"
50694-M,100000,"3,690"
50694-MG,100000,"3,690"
50694-RD,100000,"3,690"
50694-S,100000,"3,690"
50694-WEC,100000,"3,690"
50703,100000,"3,720"
50703-DGY,100000,"3,720"
50703-OE,100000,"3,720"
50719,100000,"2,480"
50732,100000,"11,180"
50733,100000,"3,250"
50776,100000,"4,600"
50793,100000,"5,980"
50801,100000,"18,320"
50805,100000,"6,760"
50806,100000,"11,590"
50810,100000,"10,500"
50811,100000,"4,290"
50812,100000,"10,500"
50822,100000,"11,700"
50823,100000,"10,490"
50826,100000,"7,330"
50847-RD,100000,"4,280"
50858,100000,"16,990"
50868,100000,"18,680"
50883-GY,100000,"2,230"
50884-CR,100000,"2,230"
50884-GY,100000,"2,230"
50891,100000,"13,080"
50895-SR,100000,"2,720"
50903,100000,"0,820"
50904,100000,"15,590"
50920,100000,"3,980"
50931,100000,"15,000"
50936,100000,"3,030"
50937,100000,"3,030"
50943,100000,"1,290"
50950,100000,"3,460"
50952,100000,"58,580"
50973,100000,"8,390"
50976,100000,"16,160"
50981,100000,"14,280"
51002,100000,"8,390"
51003,100000,"5,200"
51006,100000,"10,850"
51012,100000,"5,990"
51015,100000,"12,960"
51018-BK,100000,"8,800"
51032,100000,"7,330"
51033,100000,"10,490"
51035,100000,"7,820"
51048,100000,"12,430"
51062,100000,"19,920"
51069-BE,100000,"1,030"
51069-RD,100000,"1,030"
51069-SR,100000,"1,030"
51069-WE,100000,"1,030"
51071,100000,"27,490"
51078,100000,"3,880"
51079,100000,"3,880"
51082,100000,"5,200"
51084-OE,100000,"1,990"
51085-BK,100000,"4,990"
51085-GN,100000,"4,990"
51085-LBE,100000,"4,990"
51085-RD,100000,"4,990"
51091-LBE,100000,"2,850"
51105,100000,"13,850"
51112,100000,"9,080"
51113,100000,"20,950"
51140,100000,"3,990"
51154,100000,"4,990"
51155,100000,"6,600"
51161,100000,"1,850"
51165,100000,"13,080"
51170,100000,"34,280"
51173,100000,"12,430"
51176,100000,"4,990"
51181,100000,"4,190"
51182,100000,"3,990"
51187,100000,"3,560"
51195,100000,"9,960"
51196,100000,"6,080"
51197,100000,"7,230"
51198,100000,"9,230"
51202,100000,"4,190"
51206,100000,"13,230"
51207,100000,"7,820"
51208,100000,"5,760"
51213,100000,"14,500"
51214,100000,"21,620"
51225,100000,"0,420"
51240,100000,"12,080"
51241,100000,"2,420"
51242-BK,100000,"1,460"
51251,100000,"14,990"
51265-BK,100000,"5,200"
51290,100000,"9,990"
51291,100000,"16,790"
51294,100000,"43,580"
51295-GY,100000,"8,930"
51299,100000,"24,130"
51310,100000,"8,720"
51311,100000,"8,080"
51323-RD,100000,"0,420"
51327,100000,"10,390"
51330,100000,"2,620"
51338,100000,"6,920"
51339,100000,"9,190"
51340,100000,"4,190"
51341,100000,"4,290"
51348,100000,"4,590"
51350,100000,"1,500"
51351,100000,"1,500"
51354,100000,"3,660"
51356,100000,"3,990"
51357,100000,"4,820"
51358,100000,"7,330"
51359,100000,"13,630"
51360,100000,"10,450"
51361,100000,"6,200"
51364,100000,"6,600"
51367,100000,"2,930"
51369,100000,"16,790"
51371,100000,"2,720"
51374,100000,"10,490"
51376,100000,"24,980"
51377,100000,"4,190"
51377-S,100000,"3,690"
51377-SR,100000,"3,690"
51378,100000,"10,490"
51381,100000,"9,990"
51391,100000,"11,030"
51393,100000,"28,660"
51394,100000,"19,930"
51401-BE,100000,"0,790"
51401-RD,100000,"0,790"
51401-WE,100000,"0,790"
51402-WE,100000,"1,030"
51405,100000,"8,350"
51410,100000,"3,130"
51412,100000,"12,430"
51413,100000,"5,760"
51414,100000,"6,920"
51415,100000,"4,400"
51416,100000,"8,720"
51417,100000,"15,730"
51418,100000,"1,490"
51419,100000,"1,490"
51423,100000,"11,180"
51424,100000,"52,330"
51427,100000,"6,080"
51428,100000,"11,860"
51430,100000,"2,480"
51433,100000,"4,960"
51437,100000,"6,590"
51438,100000,"5,200"
51440-BE,100000,"0,500"
51440-WE,100000,"0,500"
51441-BK,100000,"0,800"
51441-RD,100000,"0,800"
51441-WE,100000,"0,800"
51442,100000,"5,560"
51443,100000,"2,620"
51444,100000,"2,480"
51445,100000,"22,030"
51454,100000,"12,430"
51455,100000,"9,990"
51457,100000,"33,060"
51458-BE,100000,"0,880"
51458-GY,100000,"0,880"
51458-RD,100000,"0,880"
51460-BE,100000,"0,320"
51460-BK,100000,"0,320"
51460-RD,100000,"0,230"
51460-WE,100000,"0,320"
51462,100000,"26,230"
51467,100000,"0,920"
51467-BK,100000,"0,920"
51469,100000,"5,200"
51472,100000,"10,490"
51473,100000,"5,620"
51474,100000,"3,990"
51475,100000,"4,400"
51476,100000,"6,990"
51477,100000,"4,820"
51478,100000,"2,720"
51480,100000,"10,490"
51481,100000,"16,750"
51482,100000,"4,600"
51483,100000,"2,820"
51487,100000,"4,290"
51493,100000,"1,290"
51494,100000,"4,820"
51495,100000,"3,880"
51496,100000,"5,620"
51497,100000,"14,850"
51498,100000,"7,690"
51499,100000,"8,080"
51501,100000,"24,980"
51502,100000,"7,330"
51503,100000,"4,990"
51504,100000,"8,700"
51505,100000,"12,430"
51508,100000,"11,180"
51509,100000,"16,790"
51510,100000,"57,730"
51511-BK,100000,"3,720"
51511-SR,100000,"3,720"
51512,100000,"14,690"
51514,100000,"2,990"
51517-BE,100000,"3,290"
51517-LRD,100000,"3,290"
51518-BK,100000,"0,980"
51518-LRD,100000,"0,980"
51518-SR,100000,"0,980"
51518-WE,100000,"0,980"
51519,100000,"6,200"
51520,100000,"8,390"
51521,100000,"3,990"
51522,100000,"6,560"
51523,100000,"9,990"
51524,100000,"12,990"
51528,100000,"4,990"
51530,100000,"9,290"
51531,100000,"13,630"
51533,100000,"3,880"
51534,100000,"2,820"
51535,100000,"6,200"
51537,100000,"2,190"
51538,100000,"4,990"
51540-BK,100000,"1,150"
51540-WE,100000,"1,150"
51541-BK,100000,"0,800"
51541-WE,100000,"0,800"
51546,100000,"41,950"
51549,100000,"10,180"
51550,100000,"6,560"
51551,100000,"11,180"
51552,100000,"28,590"
51554,100000,"2,990"
51555,100000,"2,990"
51556,100000,"4,820"
51557,100000,"2,090"
51558,100000,"3,130"
51559,100000,"49,860"
51560,100000,"11,860"
51562-GD,100000,"1,730"
51562-SR,100000,"1,730"
51563,100000,"13,850"
51566,100000,"9,990"
51567,100000,"11,180"
51568,100000,"15,730"
51569,100000,"9,430"
51570,100000,"10,650"
51571,100000,"11,990"
51572,100000,"11,990"
51574,100000,"2,190"
51576-GY,100000,"11,500"
51576-RD,100000,"11,500"
51577,100000,"4,600"
51578,100000,"7,550"
51579,100000,"7,330"
51580,100000,"33,500"
51581,100000,"28,900"
51582-LGY,100000,"1,030"
51583-LGY,100000,"3,560"
51584-LGY,100000,"2,990"
51585-LGY,100000,"6,200"
51586-LGY,100000,"1,620"
51587-LGY,100000,"2,300"
51592,100000,"2,980"
51593,100000,"2,980"
51594,100000,"2,300"
51595,100000,"2,300"
51596,100000,"4,600"
51601,100000,"31,490"
51602,100000,"24,980"
51603,100000,"37,390"
51604,100000,"2,990"
51606-BK,100000,"2,990"
51606-SBE,100000,"2,990"
51606-SBK,100000,"1,850"
51608-BK,100000,"3,720"
51608-SBE,100000,"3,720"
51608-SBK,100000,"3,720"
51610-BK,100000,"2,690"
51610-OE,100000,"2,690"
51610-SBK,100000,"2,690"
51612,100000,"7,990"
51613,100000,"8,790"
51614,100000,"9,990"
51615-BK,100000,"0,760"
51615-RD,100000,"0,760"
51615-WE,100000,"0,760"
51618-BE,100000,"0,530"
51618-BK,100000,"0,530"
51618-RD,100000,"0,530"
51618-WE,100000,"0,530"
51619,100000,"16,790"
51620,100000,"10,490"
51621,100000,"12,590"
51623,100000,"2,720"
51625,100000,"14,990"
51626,100000,"12,990"
51627,100000,"6,290"
51629-BK,100000,"1,100"
51629-SR,100000,"1,100"
51629-WE,100000,"1,100"
51630,100000,"11,860"
51631,100000,"4,990"
51632,100000,"2,960"
51633,100000,"2,090"
51634,100000,"5,760"
51635,100000,"19,520"
51636,100000,"32,650"
51637,100000,"23,090"
51638-S,100000,"20,780"
51639,100000,"37,260"
51640,100000,"49,860"
51641,100000,"1,880"
51642,100000,"5,220"
51643,100000,"5,230"
51644,100000,"2,480"
51645,100000,"11,700"
51647,100000,"12,430"
51648,100000,"4,090"
51649,100000,"32,390"
51650-BK,100000,"0,630"
51650-SR,100000,"0,630"
51651,100000,"8,920"
51652,100000,"9,330"
51653,100000,"13,330"
51654,100000,"3,500"
51655,100000,"3,500"
