sku,qty,price,errors
10001,100000,"1,420","Product Type is invalid or not supported"
10001-S,100000,"1,690","Product Type is invalid or not supported"
10003,100000,"1,780","Product Type is invalid or not supported"
10004,100000,"1,780","Product Type is invalid or not supported"
10005,100000,"1,780","Product Type is invalid or not supported"
10006,100000,"1,780","Product Type is invalid or not supported"
10007,100000,"1,780","Product Type is invalid or not supported"
10008,100000,"1,780","Product Type is invalid or not supported"
10009,100000,"1,780","Product Type is invalid or not supported"
10010,100000,"1,780","Product Type is invalid or not supported"
10011,100000,"1,780","Product Type is invalid or not supported"
10012,100000,"1,780","Product Type is invalid or not supported"
10013,100000,"1,780","Product Type is invalid or not supported"
10057,100000,"1,680","Product Type is invalid or not supported"
10060,100000,"1,880","Product Type is invalid or not supported"
10062,100000,"2,090","Product Type is invalid or not supported"
10063,100000,"1,880","Product Type is invalid or not supported"
10094,100000,"3,460","Product Type is invalid or not supported"
10094-M,100000,"3,460","Product Type is invalid or not supported"
10137-DBE,100000,"2,720","Product Type is invalid or not supported"
10137-LGN,100000,"2,720","Product Type is invalid or not supported"
10145,100000,"3,460","Product Type is invalid or not supported"
10155,100000,"1,600","Product Type is invalid or not supported"
10156,100000,"1,600","Product Type is invalid or not supported"
10157,100000,"1,560","Product Type is invalid or not supported"
10158,100000,"1,590","Product Type is invalid or not supported"
10159,100000,"1,590","Product Type is invalid or not supported"
10178,100000,"1,460","Product Type is invalid or not supported"
10180-BE,100000,"1,430","Product Type is invalid or not supported"
10180-BK,100000,"1,430","Product Type is invalid or not supported"
10180-RD,100000,"1,430","Product Type is invalid or not supported"
10192,100000,"2,480","Product Type is invalid or not supported"
10193-M,100000,"2,420","Product Type is invalid or not supported"
10193-S,100000,"2,420","Product Type is invalid or not supported"
10201-RD,100000,"2,930","Product Type is invalid or not supported"
10201-S,100000,"2,480","Product Type is invalid or not supported"
10203,100000,"3,250","Product Type is invalid or not supported"
10204,100000,"3,550","Product Type is invalid or not supported"
10210,100000,"2,590","Product Type is invalid or not supported"
10211,100000,"2,130","Product Type is invalid or not supported"
10212,100000,"2,590","Product Type is invalid or not supported"
10230,100000,"2,420","Product Type is invalid or not supported"
10246-RD,100000,"1,280","Product Type is invalid or not supported"
10251,100000,"2,820","Product Type is invalid or not supported"
10252,100000,"3,720","Product Type is invalid or not supported"
10258,100000,"3,130","Product Type is invalid or not supported"
10259,100000,"1,990","Product Type is invalid or not supported"
10260,100000,"2,190","Product Type is invalid or not supported"
10261,100000,"1,990","Product Type is invalid or not supported"
10262-MG,100000,"4,190","Product Type is invalid or not supported"
10264-WE,100000,"2,400","Product Type is invalid or not supported"
10266,100000,"5,820","Product Type is invalid or not supported"
10268,100000,"3,350","Product Type is invalid or not supported"
10269-BK,100000,"3,720","Product Type is invalid or not supported"
10274,100000,"2,990","Product Type is invalid or not supported"
10275,100000,"5,030","Product Type is invalid or not supported"
10280,100000,"1,280","Product Type is invalid or not supported"
10281,100000,"1,280","Product Type is invalid or not supported"
10282,100000,"2,390","Product Type is invalid or not supported"
10283,100000,"3,130","Product Type is invalid or not supported"
10284,100000,"1,680","Product Type is invalid or not supported"
10284-M,100000,"1,460","Product Type is invalid or not supported"
