sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
10001,All Websites [EUR],ALL GROUPS,1,1.420
10001-S,All Websites [EUR],ALL GROUPS,1,1.690
10003,All Websites [EUR],ALL GROUPS,1,1.780
10004,All Websites [EUR],ALL GROUPS,1,1.780
10005,All Websites [EUR],ALL GROUPS,1,1.780
10006,All Websites [EUR],ALL GROUPS,1,1.780
10007,All Websites [EUR],ALL GROUPS,1,1.780
10008,All Websites [EUR],ALL GROUPS,1,1.780
10009,All Websites [EUR],ALL GROUPS,1,1.780
10010,All Websites [EUR],ALL GROUPS,1,1.780
10011,All Websites [EUR],ALL GROUPS,1,1.780
10012,All Websites [EUR],ALL GROUPS,1,1.780
10013,All Websites [EUR],ALL GROUPS,1,1.780
10057,All Websites [EUR],ALL GROUPS,1,1.680
10060,All Websites [EUR],ALL GROUPS,1,1.880
10062,All Websites [EUR],ALL GROUPS,1,2.090
10063,All Websites [EUR],ALL GROUPS,1,1.880
10094,All Websites [EUR],ALL GROUPS,1,3.460
10094-M,All Websites [EUR],ALL GROUPS,1,3.460
10137-DBE,All Websites [EUR],ALL GROUPS,1,2.720
10137-LGN,All Websites [EUR],ALL GROUPS,1,2.720
10145,All Websites [EUR],ALL GROUPS,1,3.460
10155,All Websites [EUR],ALL GROUPS,1,1.600
10156,All Websites [EUR],ALL GROUPS,1,1.600
10157,All Websites [EUR],ALL GROUPS,1,1.560
10158,All Websites [EUR],ALL GROUPS,1,1.590
10159,All Websites [EUR],ALL GROUPS,1,1.590
10178,All Websites [EUR],ALL GROUPS,1,1.460
10180-BE,All Websites [EUR],ALL GROUPS,1,1.430
10180-BK,All Websites [EUR],ALL GROUPS,1,1.430
10180-RD,All Websites [EUR],ALL GROUPS,1,1.430
10192,All Websites [EUR],ALL GROUPS,1,2.480
10193-M,All Websites [EUR],ALL GROUPS,1,2.420
10193-S,All Websites [EUR],ALL GROUPS,1,2.420
10201-RD,All Websites [EUR],ALL GROUPS,1,2.930
10201-S,All Websites [EUR],ALL GROUPS,1,2.480
10203,All Websites [EUR],ALL GROUPS,1,3.250
10204,All Websites [EUR],ALL GROUPS,1,3.550
10210,All Websites [EUR],ALL GROUPS,1,2.590
10211,All Websites [EUR],ALL GROUPS,1,2.130
10212,All Websites [EUR],ALL GROUPS,1,2.590
10230,All Websites [EUR],ALL GROUPS,1,2.420
10246-RD,All Websites [EUR],ALL GROUPS,1,1.280
10251,All Websites [EUR],ALL GROUPS,1,2.820
10252,All Websites [EUR],ALL GROUPS,1,3.720
10258,All Websites [EUR],ALL GROUPS,1,3.130
10259,All Websites [EUR],ALL GROUPS,1,1.990
10260,All Websites [EUR],ALL GROUPS,1,2.190
10261,All Websites [EUR],ALL GROUPS,1,1.990
10262-MG,All Websites [EUR],ALL GROUPS,1,4.190
10264-WE,All Websites [EUR],ALL GROUPS,1,2.400
10266,All Websites [EUR],ALL GROUPS,1,5.820
10268,All Websites [EUR],ALL GROUPS,1,3.350
10269-BK,All Websites [EUR],ALL GROUPS,1,3.720
10274,All Websites [EUR],ALL GROUPS,1,2.990
10275,All Websites [EUR],ALL GROUPS,1,5.030
10280,All Websites [EUR],ALL GROUPS,1,1.280
10281,All Websites [EUR],ALL GROUPS,1,1.280
10282,All Websites [EUR],ALL GROUPS,1,2.390
10283,All Websites [EUR],ALL GROUPS,1,3.130
10284,All Websites [EUR],ALL GROUPS,1,1.680
10284-M,All Websites [EUR],ALL GROUPS,1,1.460
10285-BE,All Websites [EUR],ALL GROUPS,1,1.880
10285-BK,All Websites [EUR],ALL GROUPS,1,1.880
10286-BK,All Websites [EUR],ALL GROUPS,1,830
10286-WE,All Websites [EUR],ALL GROUPS,1,830
10289,All Websites [EUR],ALL GROUPS,1,2.720
