sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price,errors
10001,"All Websites [EUR]","ALL GROUPS",1,1.420,"Product Type is invalid or not supported"
10001-S,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10003,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10004,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10005,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10006,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10007,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10008,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10009,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10010,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10011,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10012,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10013,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10057,"All Websites [EUR]","ALL GROUPS",1,1.680,"Product Type is invalid or not supported"
10060,"All Websites [EUR]","ALL GROUPS",1,1.880,"Product Type is invalid or not supported"
10062,"All Websites [EUR]","ALL GROUPS",1,2.090,"Product Type is invalid or not supported"
10063,"All Websites [EUR]","ALL GROUPS",1,1.880,"Product Type is invalid or not supported"
10094,"All Websites [EUR]","ALL GROUPS",1,3.460,"Product Type is invalid or not supported"
10094-M,"All Websites [EUR]","ALL GROUPS",1,3.460,"Product Type is invalid or not supported"
10137-DBE,"All Websites [EUR]","ALL GROUPS",1,2.720,"Product Type is invalid or not supported"
10137-LGN,"All Websites [EUR]","ALL GROUPS",1,2.720,"Product Type is invalid or not supported"
10145,"All Websites [EUR]","ALL GROUPS",1,3.460,"Product Type is invalid or not supported"
10155,"All Websites [EUR]","ALL GROUPS",1,1.600,"Product Type is invalid or not supported"
10156,"All Websites [EUR]","ALL GROUPS",1,1.600,"Product Type is invalid or not supported"
10157,"All Websites [EUR]","ALL GROUPS",1,1.560,"Product Type is invalid or not supported"
10158,"All Websites [EUR]","ALL GROUPS",1,1.590,"Product Type is invalid or not supported"
10159,"All Websites [EUR]","ALL GROUPS",1,1.590,"Product Type is invalid or not supported"
10178,"All Websites [EUR]","ALL GROUPS",1,1.460,"Product Type is invalid or not supported"
10180-BE,"All Websites [EUR]","ALL GROUPS",1,1.430,"Product Type is invalid or not supported"
10180-BK,"All Websites [EUR]","ALL GROUPS",1,1.430,"Product Type is invalid or not supported"
10180-RD,"All Websites [EUR]","ALL GROUPS",1,1.430,"Product Type is invalid or not supported"
10192,"All Websites [EUR]","ALL GROUPS",1,2.480,"Product Type is invalid or not supported"
10193-M,"All Websites [EUR]","ALL GROUPS",1,2.420,"Product Type is invalid or not supported"
10193-S,"All Websites [EUR]","ALL GROUPS",1,2.420,"Product Type is invalid or not supported"
10201-RD,"All Websites [EUR]","ALL GROUPS",1,2.930,"Product Type is invalid or not supported"
10201-S,"All Websites [EUR]","ALL GROUPS",1,2.480,"Product Type is invalid or not supported"
10203,"All Websites [EUR]","ALL GROUPS",1,3.250,"Product Type is invalid or not supported"
10204,"All Websites [EUR]","ALL GROUPS",1,3.550,"Product Type is invalid or not supported"
10210,"All Websites [EUR]","ALL GROUPS",1,2.590,"Product Type is invalid or not supported"
10211,"All Websites [EUR]","ALL GROUPS",1,2.130,"Product Type is invalid or not supported"
10212,"All Websites [EUR]","ALL GROUPS",1,2.590,"Product Type is invalid or not supported"
10230,"All Websites [EUR]","ALL GROUPS",1,2.420,"Product Type is invalid or not supported"
10246-RD,"All Websites [EUR]","ALL GROUPS",1,1.280,"Product Type is invalid or not supported"
10251,"All Websites [EUR]","ALL GROUPS",1,2.820,"Product Type is invalid or not supported"
10252,"All Websites [EUR]","ALL GROUPS",1,3.720,"Product Type is invalid or not supported"
