sku,base_image,errors
10001,10001*.jpg,"Wrong URL/path used for attribute image"
10001-S,10001-S*.jpg,"Wrong URL/path used for attribute image"
10003,10003*.jpg,"Wrong URL/path used for attribute image"
10004,10003*.jpg,"Wrong URL/path used for attribute image"
10005,10003*.jpg,"Wrong URL/path used for attribute image"
10006,10003*.jpg,"Wrong URL/path used for attribute image"
10007,10003*.jpg,"Wrong URL/path used for attribute image"
10008,10003*.jpg,"Wrong URL/path used for attribute image"
10009,10003*.jpg,"Wrong URL/path used for attribute image"
10010,10003*.jpg,"Wrong URL/path used for attribute image"
10011,10003*.jpg,"Wrong URL/path used for attribute image"
10012,10003*.jpg,"Wrong URL/path used for attribute image"
10013,10003*.jpg,"Wrong URL/path used for attribute image"
10057,10057*.jpg,"Wrong URL/path used for attribute image"
10060,10060*.jpg,"Wrong URL/path used for attribute image"
10062,10062*.jpg,"Wrong URL/path used for attribute image"
10063,10063*.jpg,"Wrong URL/path used for attribute image"
10094,10094*.jpg,"Wrong URL/path used for attribute image"
10094-M,10094-M*.jpg,"Wrong URL/path used for attribute image"
10137-DBE,10137-DBE*.jpg,"Wrong URL/path used for attribute image"
10137-LGN,10137-LGN*.jpg,"Wrong URL/path used for attribute image"
10145,10145*.jpg,"Wrong URL/path used for attribute image"
10155,10155*.jpg,"Wrong URL/path used for attribute image"
10156,10156*.jpg,"Wrong URL/path used for attribute image"
10157,10157*.jpg,"Wrong URL/path used for attribute image"
10158,10158*.jpg,"Wrong URL/path used for attribute image"
10159,10159*.jpg,"Wrong URL/path used for attribute image"
10178,10178*.jpg,"Wrong URL/path used for attribute image"
10180-BE,10180-BE*.jpg,"Wrong URL/path used for attribute image"
10180-BK,10180-BK*.jpg,"Wrong URL/path used for attribute image"
10180-RD,10180-RD*.jpg,"Wrong URL/path used for attribute image"
10192,10192*.jpg,"Wrong URL/path used for attribute image"
10193-M,10193-M*.jpg,"Wrong URL/path used for attribute image"
10193-S,10193-S*.jpg,"Wrong URL/path used for attribute image"
10201-RD,10201-RD*.jpg,"Wrong URL/path used for attribute image"
10201-S,10201-S*.jpg,"Wrong URL/path used for attribute image"
10203,10203*.jpg,"Wrong URL/path used for attribute image"
10204,10204*.jpg,"Wrong URL/path used for attribute image"
10210,10210*.jpg,"Wrong URL/path used for attribute image"
10211,10211*.jpg,"Wrong URL/path used for attribute image"
10212,10212*.jpg,"Wrong URL/path used for attribute image"
10230,10230*.jpg,"Wrong URL/path used for attribute image"
10246-RD,10246-RD*.jpg,"Wrong URL/path used for attribute image"
10251,10251*.jpg,"Wrong URL/path used for attribute image"
