sku,additional_attributes
10001,"beschreibung= Metall, mattsilber, silber,druckbereich=Ø 23,farbe=mattsilber, silber,gewicht=24 g,material= Metall,zolltarifnummer=79070000"
10001-S,"beschreibung= Metall, silber,druckbereich=Ø 23,farbe=silber,gewicht=24 g,material= Metall,zolltarifnummer=79070000"
10003,"beschreibung= Metall, mattsilber, silber,druckbereich=23 x 18,farbe=mattsilber, silber,gewicht=24 g,material= Metall,zolltarifnummer=79070000"
10004,"beschreibung= Metall, silber, silberglänzend,druckbereich=24 x 18,farbe=mattsilber, silber,gewicht=25 g,material= Metall,zolltarifnummer=79070001"
10005,"beschreibung= Metall, mattsilber, silber,druckbereich=25 x 18,farbe=mattsilber, silber,gewicht=26 g,material= Metall,zolltarifnummer=79070002"
10006,"beschreibung= Metall, silber, silberglänzend,druckbereich=26 x 18,farbe=mattsilber, silber,gewicht=27 g,material= Metall,zolltarifnummer=79070003"
10007,"beschreibung= Metall, silber,druckbereich=27 x 18,farbe=mattsilber, silber,gewicht=28 g,material= Metall,zolltarifnummer=79070004"
10008,"beschreibung= Metall, silber, abnehmbare Ringe,druckbereich=28 x 18,farbe=mattsilber, silber,gewicht=29 g,material= Metall,zolltarifnummer=79070005"
10009,"beschreibung= Metall, silber, abnehmbare Ringe,druckbereich=29 x 18,farbe=mattsilber, silber,gewicht=30 g,material= Metall,zolltarifnummer=79070006"
10010,"beschreibung= Abnehmbare Schlüsselringe. Nehmen Sie nur mit, was nötig ist!
 
 
 
 Metall, silber, abnehmbare Ringe,druckbereich=30 x 18,farbe=mattsilber, silber,gewicht=31 g,material= Metall,zolltarifnummer=79070007"
10011,"beschreibung= Metall, silber,druckbereich=31 x 18,farbe=mattsilber, silber,gewicht=32 g,material= Metall,zolltarifnummer=79070008"
10012,"beschreibung= Metall, silber,druckbereich=32 x 18,farbe=mattsilber, silber,gewicht=33 g,material= Metall,zolltarifnummer=79070009"
10013,"beschreibung= Metall, silber,druckbereich=33 x 18,farbe=mattsilber, silber,gewicht=34 g,material= Metall,zolltarifnummer=79070010"
10057,"beschreibung= Metall, silber,druckbereich=19,5 x 24,5,farbe=,gewicht=26 g,material= Metall,zolltarifnummer=79070000"
10060,"beschreibung= Metall, silber,druckbereich=18 x 35,5,farbe=silber,gewicht=29 g,material= Metall,zolltarifnummer=79070000"
10062,"beschreibung= Metall, silber,druckbereich=16,5 x 39,5,farbe=silber,gewicht=37 g,material= Metall,zolltarifnummer=79070000"
10063,"beschreibung= Metall, silber,druckbereich=20,5 x 27,farbe=silber,gewicht=26 g,material= Metall,zolltarifnummer=79070000"
10094,"beschreibung= Metall, silber, silberglänzend, Gravurplättchen,druckbereich=14 x 12,farbe=silber, silberglänzend,gewicht=27 g,material= Metall,zolltarifnummer=79070000"
10094-M,"beschreibung= Metall, mattsilber, silber, Gravurplättchen,druckbereich=14 x 12,farbe=mattsilber, silber,gewicht=27 g,material= Metall,zolltarifnummer=79070000"
10137-DBE,"beschreibung= Metall, Silikon, blau, dunkelblau, silber,druckbereich=12 x 22,farbe=blau, dunkelblau, silber,gewicht=29 g,material= Metall, Silikon,zolltarifnummer=73262000"
10137-LGN,"beschreibung= Metall, Silikon, hellgrün, silber,druckbereich=12 x 22,farbe=hellgrün, silber,gewicht=29 g,material= Metall, Silikon,zolltarifnummer=73262000"
10145,"beschreibung= * inklusive Einkaufswagenchip
 
 
 
 Kunststoff, Metall, schwarz, silber, inkl. Einkaufswagenchip,druckbereich=16 x 36,farbe=schwarz, silber,gewicht=37 g,material= Kunststoff, Metall,zolltarifnummer=79070000"
10155,"beschreibung= Kunststoff, Metall, schwarz, silber,druckbereich=35 x 9,farbe=schwarz, silber,gewicht=23 g,material= Kunststoff, Metall,zolltarifnummer=79070000"
10156,"beschreibung= Kunststoff, Metall, schwarz, silber,druckbereich=37 x 9,farbe=schwarz, silber,gewicht=24 g,material= Kunststoff, Metall,zolltarifnummer=79070000"
10157,"beschreibung= Per Doming gestaltbar
 
 
 
 Metall, silber, Metallplatte,druckbereich=Ø 22,farbe=silber,gewicht=27 g,material= Metall,zolltarifnummer=79070000"
10158,"beschreibung= Per Doming gestaltbar
 
 
 
 Metall, silber, Metallplatte,druckbereich=25 x 10,farbe=silber,gewicht=30 g,material= Metall,zolltarifnummer=79070000"
10159,"beschreibung= Per Doming gestaltbar
 
 
 
 Metall, silber, Metallplatte,druckbereich=35 x 12,farbe=silber,gewicht=32 g,material= Metall,zolltarifnummer=79070000"
10178,"beschreibung= Kunststoff, Metall, rot, silber,druckbereich=7 x 24,farbe=rot, silber,gewicht=18 g,material= Kunststoff, Metall,zolltarifnummer=79070000"
10180-BE,"beschreibung= Kunststoff, Metall, blau, silber,druckbereich=25 x 30,farbe=blau, silber,gewicht=32 g,material= Kunststoff, Metall,zolltarifnummer=79070000"
10180-BK,"beschreibung= Kunststoff, Metall, schwarz, silber,druckbereich=25 x 30,farbe=schwarz, silber,gewicht=32 g,material= Kunststoff, Metall,zolltarifnummer=79070000"
10180-RD,"beschreibung= Kunststoff, Metall, rot, silber,druckbereich=25 x 30,farbe=rot, silber,gewicht=32 g,material= Kunststoff, Metall,zolltarifnummer=79070000"
10192,"beschreibung= Edelstahl, silber,druckbereich=45 x 13,farbe=silber,gewicht=53 g,material= Edelstahl,zolltarifnummer=82055100"
10193-M,"beschreibung= Metall, mattsilber, silber,druckbereich=Ø 20,farbe=mattsilber, silber,gewicht=34 g,material= Metall,zolltarifnummer=79070000"
10193-S,"beschreibung= Metall, silber, silberglänzend,druckbereich=Ø 20,farbe=silber, silberglänzend,gewicht=34 g,material= Metall,zolltarifnummer=79070000"
10201-RD,"beschreibung= Metall, rot,druckbereich=x,farbe=rot,gewicht=38 g,material= Metall,zolltarifnummer=79070000"
10201-S,"beschreibung= Metall, silber, silberglänzend,druckbereich=20 x 15,farbe=silber, silberglänzend,gewicht=38 g,material= Metall,zolltarifnummer=79070000"
10203,"beschreibung= Metall, blau, grün, orange, silber,druckbereich=33 x 10,farbe=blau, grün, orange, silber,gewicht=27 g,material= Metall,zolltarifnummer=79070000"
10204,"beschreibung= Metall, grün, schwarz, silber, weiß,druckbereich=21 x 40,farbe=grün, schwarz, silber, weiß,gewicht=31 g,material= Metall,zolltarifnummer=79070000"
10210,"beschreibung= Metall, beige, rot, silber, weiß,druckbereich=23 x 13,farbe=beige, rot, silber, weiß,gewicht=38 g,material= Metall,zolltarifnummer=79070000"
10211,"beschreibung= Metall, magenta, orange, schwarz, silber,druckbereich=20 x 11,farbe=magenta, orange, schwarz, silber,gewicht=16 g,material= Metall,zolltarifnummer=79070000"
10212,"beschreibung= Metall, gelb, grün, silber,druckbereich=16 x 9,farbe=gelb, grün, silber,gewicht=30 g,material= Metall,zolltarifnummer=79070000"
10230,"beschreibung= * Inkl. Einkaufswagenchip
 
 
 
 Aluminium, Kunststoff, schwarz, silber,druckbereich=28 x 26,farbe=schwarz, silber,gewicht=14 g,material= Aluminium, Kunststoff,zolltarifnummer=76169990"
10246-RD,"beschreibung= Metall, Silikon, rot, silber,druckbereich=18,5 x 15,farbe=rot, silber,gewicht=45 g,material= Metall, Silikon,zolltarifnummer=79070000"
10251,"beschreibung= * Inklusive Einkaufswagenchip
 
 
 
 Metall, silber, inkl. Einkaufswagenchip,druckbereich=23 x 19,farbe=silber,gewicht=58 g,material= Metall,zolltarifnummer=79070000"
10252,"beschreibung= Mit der innenliegenden Spitze einfach den Splentring spreizen und schon hat der Schlüssel Platz und kann mühelos befestigt werden.
 
 
 
 Metall, silber,druckbereich=8 x 35,farbe=silber,gewicht=25 g,material= Metall,zolltarifnummer=79070000"
10258,"beschreibung= * Karabinerhaken und Schlüsselanhänger inklusive
 
 
 
 Edelstahl, silber, Gurtmesser,druckbereich=15 x 30,farbe=silber,gewicht=50 g,material= Edelstahl,zolltarifnummer=82149000"
10259,"beschreibung= Per Doming gestaltbar
 
 
 
 Metall, silber,druckbereich=33 x 18,farbe=silber,gewicht=32 g,material= Metall,zolltarifnummer=79070000"
10260,"beschreibung= Per Doming gestaltbar
 
 
 
 Metall, silber,druckbereich=21,5 x 11,farbe=silber,gewicht=22 g,material= Metall,zolltarifnummer=79070000"
10261,"beschreibung= Per Doming gestaltbar
 
 
 
 Metall, silber,druckbereich=20 x 17,farbe=silber,gewicht=23 g,material= Metall,zolltarifnummer=79070000"
10262-MG,"beschreibung= Kunststoff, Metall, magenta,druckbereich=14 x 12,farbe=magenta,gewicht=38 g,material= Kunststoff, Metall,zolltarifnummer=39269097"
10264-WE,"beschreibung= Kunstleder, Metall, weiß,druckbereich=,farbe=weiß,gewicht=27 g,material= Kunstleder, Metall,zolltarifnummer=39269097"
10266,"beschreibung= Dieser schlaue Schlüsselfinder meldet sich, wenn sie nach ihm pfeifen per Ton- und Lichtsignal und zeigt Ihnen so, wo er sich gerade versteckt. Mit integrierter LED-Leuchte fürs leichtere Finden des Schlüssellochs und einer Aluminiumgravurplatte.
 
 
 
 Aluminium, Kunststoff, silber, Batterie inklusive, CE, LED-Farbe weiß,druckbereich=25 x 59,farbe=silber,gewicht=26 g,material= Aluminium, Kunststoff,zolltarifnummer=85318095"
10268,"beschreibung= Schont die Nägel: Eine kleine Vorrichtung spreizt den Schlüsselring.
 
 
 
 Metall, silber,druckbereich=10 x 35,farbe=silber,gewicht=27 g,material= Metall,zolltarifnummer=79070000"
10269-BK,"beschreibung= Schont die Nägel: Eine kleine Vorrichtung spreizt den Schlüsselring.
 
 
 
 Kunstleder, Metall, schwarz,druckbereich=10 x 29,farbe=schwarz,gewicht=27 g,material= Kunstleder, Metall,zolltarifnummer=79070000"
10274,"beschreibung= Metall, rot, weiß,druckbereich=15 x 5,farbe=rot, weiß,gewicht=32 g,material= Metall,zolltarifnummer=79070000"
10275,"beschreibung= Metall, mattsilber, silberglänzend, abnehmbare Ringe, Magnethalterung,druckbereich=25 x 7,farbe=mattsilber, silberglänzend,gewicht=79 g,material= Metall,zolltarifnummer=79070000"
10280,"beschreibung= * Gunmetal-Plattierung
 
 
 
 Kunstleder, Metall, schwarz,druckbereich=Ø 32,farbe=schwarz,gewicht=18 g,material= Kunstleder, Metall,zolltarifnummer=73269098"
10281,"beschreibung= * Gunmetal-Plattierung
 
 
 
 Kunstleder, Metall, schwarz,druckbereich=37 x 16,farbe=schwarz,gewicht=15 g,material= Kunstleder, Metall,zolltarifnummer=73269098"
10282,"beschreibung= * Mit einem abnehmbaren Schlüsselring
 
 
 
 Kunstleder, Metall, schwarz, silber, abnehmbare Ringe,druckbereich=15 x 12,farbe=schwarz, silber,gewicht=36 g,material= Kunstleder, Metall,zolltarifnummer=79070000"
10283,"beschreibung= Metall, silber,druckbereich=30 x 12,farbe=silber,gewicht=45 g,material= Metall,zolltarifnummer=79070000"
10284,"beschreibung= Per Doming gestaltbar
 
 
 
 Metall, silber,druckbereich=25 x 35,farbe=silber,gewicht=33 g,material= Metall,zolltarifnummer=79070000"
10284-M,"beschreibung= * Preis ohne Doming
 
 * Individuelle Domings auf Anfrage
 
 
 
 Metall, mattsilber,druckbereich=25 x 35,farbe=mattsilber,gewicht=33 g,material= Metall,zolltarifnummer=79070000"
10285-BE,"beschreibung= * Inkl. Einkaufswagenchip
 
 
 
 Edelstahl, Silikon, blau,druckbereich=25 x 20,farbe=blau,gewicht=23 g,material= Edelstahl, Silikon,zolltarifnummer=39269097"
10285-BK,"beschreibung= * Inkl. Einkaufswagenchip
 
 
 
 Edelstahl, Silikon, schwarz, silber,druckbereich=25 x 20,farbe=schwarz, silber,gewicht=23 g,material= Edelstahl, Silikon,zolltarifnummer=39269097"
10286-BK,"beschreibung= * Inkl. Brillenputztuch und 2 Schraubenziehern
 
 
 
 Kunststoff, schwarz, Polybeutel,druckbereich=30 x 55,farbe=schwarz,gewicht=17 g,material= Kunststoff,zolltarifnummer=73262000"
10286-WE,"beschreibung= * Inkl. Brillenputztuch und 2 Schraubenziehern
 
 
 
 Kunststoff, weiß, Polybeutel,druckbereich=30 x 55,farbe=weiß,gewicht=17 g,material= Kunststoff,zolltarifnummer=73262000"
10289,"beschreibung= * Gunmetal-Plattierung: Perfekt für edle Lasergravuren
 
 
 
 Metall, silber,druckbereich=26,5 x 24,farbe=silber,gewicht=34 g,material= Metall,zolltarifnummer=79070000"
10290,"beschreibung= * Gunmetal-Plattierung: Perfekt für edle Lasergravuren
 
 
 
 Metall, silber,druckbereich=12,5 x 32,farbe=silber,gewicht=27 g,material= Metall,zolltarifnummer=79070000"
