sku,attribute_set_code,product_type,categories,product_websites,name,weight,product_online,tax_class_name,visibility,display_product_options_in,gift_message_available,qty,out_of_stock_qty,use_config_min_qty,use_config_backorders,is_in_stock,price,additional_attributes,errors
65002-BK2200mAh,Werbeartikel,simple,"Default Category/Elektronik & Technik/Computer-Zubehör,Default Category/Elektronik & Technik ,Default Category/Büroartikel",base,"Powerbank REFLECTS-BOSTON BLACK 2200 mAh 65002-BK 2200mAh",1,1,"Taxable Goods","Katalog, Suche","Block nach Info-Spalte","Konfiguration verwenden",10000,0,1,1,1,1,"beschreibung= Aluminium, Rechteckiger Korpus, schwarz, CE-Kennzeichnung, weiße Geschenkverpackung,druckbereich=90 x 13,farbe=schwarz,gewicht=75 g,material= Aluminium,zolltarifnummer=85076000","Category ""Default Category/Elektronik & Technik "" has not been created. URL-Schlüssel für angegebenen Store ist bereits vorhanden."
65002-BK3000mAh,Werbeartikel,simple,"Default Category/Elektronik & Technik/Computer-Zubehör,Default Category/Elektronik & Technik ,Default Category/Büroartikel",base,"Powerbank REFLECTS-BOSTON BLACK 3000 mAh 65002-BK 3000mAh",1,1,"Taxable Goods","Katalog, Suche","Block nach Info-Spalte","Konfiguration verwenden",10000,0,1,1,1,1,"beschreibung= Aluminium, Rechteckiger Korpus, CE-Kennzeichnung, weiße Geschenkverpackung,druckbereich=90 x 13,farbe=schwarz,gewicht=75 g,material= Aluminium,zolltarifnummer=85076000","Category ""Default Category/Elektronik & Technik "" has not been created. URL-Schlüssel für angegebenen Store ist bereits vorhanden."
65002-DBE2200mAh,Werbeartikel,simple,"Default Category/Elektronik & Technik/Computer-Zubehör,Default Category/Elektronik & Technik ,Default Category/Büroartikel",base,"Powerbank REFLECTS-BOSTON DARK BLUE 2200 mAh 65002-DBE 2200mAh",1,1,"Taxable Goods","Katalog, Suche","Block nach Info-Spalte","Konfiguration verwenden",10000,0,1,1,1,1,"beschreibung= Aluminium, Rechteckiger Korpus, CE-Kennzeichnung, weiße Geschenkverpackung,druckbereich=90 x 13,farbe=dunkelblau,gewicht=75 g,material= Aluminium,zolltarifnummer=85076000","Category ""Default Category/Elektronik & Technik "" has not been created. URL-Schlüssel für angegebenen Store ist bereits vorhanden."
65002-DBE3000mAh,Werbeartikel,simple,"Default Category/Elektronik & Technik/Computer-Zubehör,Default Category/Elektronik & Technik ,Default Category/Büroartikel",base,"Powerbank REFLECTS-BOSTON DARK BLUE 3000 mAh 65002-DBE 3000mAh",1,1,"Taxable Goods","Katalog, Suche","Block nach Info-Spalte","Konfiguration verwenden",10000,0,1,1,1,1,"beschreibung= Aluminium, Rechteckiger Korpus, CE-Kennzeichnung, weiße Geschenkverpackung,druckbereich=90 x 13,farbe=dunkelblau,gewicht=75 g,material= Aluminium,zolltarifnummer=85076000","Category ""Default Category/Elektronik & Technik "" has not been created. URL-Schlüssel für angegebenen Store ist bereits vorhanden."
65002-GN2200mAh,Werbeartikel,simple,"Default Category/Elektronik & Technik/Computer-Zubehör,Default Category/Elektronik & Technik ,Default Category/Büroartikel",base,"Powerbank REFLECTS-BOSTON GREEN 2000 mAh 65002-GN 2200mAh",1,1,"Taxable Goods","Katalog, Suche","Block nach Info-Spalte","Konfiguration verwenden",10000,0,1,1,1,1,"beschreibung= Aluminium, Rechteckiger Korpus, CE-Kennzeichnung, weiße Geschenkverpackung,druckbereich=90 x 13,farbe=grün,gewicht=75 g,material= Aluminium,zolltarifnummer=85076000","Category ""Default Category/Elektronik & Technik "" has not been created. URL-Schlüssel für angegebenen Store ist bereits vorhanden."
65002-GN3000mAh,Werbeartikel,simple,"Default Category/Elektronik & Technik/Computer-Zubehör,Default Category/Elektronik & Technik ,Default Category/Büroartikel",base,"Powerbank REFLECTS-BOSTON GREEN 3000 mAh 65002-GN 3000mAh",1,1,"Taxable Goods","Katalog, Suche","Block nach Info-Spalte","Konfiguration verwenden",10000,0,1,1,1,1,"beschreibung= Aluminium, Rechteckiger Korpus, CE-Kennzeichnung, weiße Geschenkverpackung,druckbereich=90 x 13,farbe=grün,gewicht=75 g,material= Aluminium,zolltarifnummer=85076000","Category ""Default Category/Elektronik & Technik "" has not been created. URL-Schlüssel für angegebenen Store ist bereits vorhanden."
65002-MG2200mAh,Werbeartikel,simple,"Default Category/Elektronik & Technik/Computer-Zubehör,Default Category/Elektronik & Technik ,Default Category/Büroartikel",base,"Powerbank REFLECTS-BOSTON MAGENTA 2200 mAh 65002-MG 2200mAh",1,1,"Taxable Goods","Katalog, Suche","Block nach Info-Spalte","Konfiguration verwenden",10000,0,1,1,1,1,"beschreibung= Aluminium, Rechteckiger Korpus, CE-Kennzeichnung, weiße Geschenkverpackung,druckbereich=90 x 13,farbe=magenta,gewicht=75 g,material= Aluminium,zolltarifnummer=85076000","Category ""Default Category/Elektronik & Technik "" has not been created. URL-Schlüssel für angegebenen Store ist bereits vorhanden."
65002-MG3000mAh,Werbeartikel,simple,"Default Category/Elektronik & Technik/Computer-Zubehör,Default Category/Elektronik & Technik ,Default Category/Büroartikel",base,"Powerbank REFLECTS-BOSTON MAGENTA 3000 mAh 65002-MG 3000mAh",1,1,"Taxable Goods","Katalog, Suche","Block nach Info-Spalte","Konfiguration verwenden",10000,0,1,1,1,1,"beschreibung= Aluminium, Rechteckiger Korpus, CE-Kennzeichnung, weiße Geschenkverpackung,druckbereich=90 x 13,farbe=magenta,gewicht=75 g,material= Aluminium,zolltarifnummer=85076000","Category ""Default Category/Elektronik & Technik "" has not been created. URL-Schlüssel für angegebenen Store ist bereits vorhanden."
65002-PE2200mAh,Werbeartikel,simple,"Default Category/Elektronik & Technik/Computer-Zubehör,Default Category/Elektronik & Technik ,Default Category/Büroartikel",base,"Powerbank REFLECTS-BOSTON PURPLE 2200 mAh 65002-PE 2200mAh",1,1,"Taxable Goods","Katalog, Suche","Block nach Info-Spalte","Konfiguration verwenden",10000,0,1,1,1,1,"beschreibung= Aluminium, Rechteckiger Korpus, CE-Kennzeichnung, weiße Geschenkverpackung,druckbereich=90 x 13,farbe=lila,gewicht=75 g,material= Aluminium,zolltarifnummer=85076000","Category ""Default Category/Elektronik & Technik "" has not been created. URL-Schlüssel für angegebenen Store ist bereits vorhanden."
65002-PE3000mAh,Werbeartikel,simple,"Default Category/Elektronik & Technik/Computer-Zubehör,Default Category/Elektronik & Technik ,Default Category/Büroartikel",base,"Powerbank REFLECTS-BOSTON PURPLE 3000 mAh 65002-PE 3000mAh",1,1,"Taxable Goods","Katalog, Suche","Block nach Info-Spalte","Konfiguration verwenden",10000,0,1,1,1,1,"beschreibung= Aluminium, Rechteckiger Korpus, CE-Kennzeichnung, weiße Geschenkverpackung,druckbereich=90 x 13,farbe=lila,gewicht=75 g,material= Aluminium,zolltarifnummer=85076000","Category ""Default Category/Elektronik & Technik "" has not been created. URL-Schlüssel für angegebenen Store ist bereits vorhanden."
65002-RD2200mAh,Werbeartikel,simple,"Default Category/Elektronik & Technik/Computer-Zubehör,Default Category/Elektronik & Technik ,Default Category/Büroartikel",base,"Powerbank REFLECTS-BOSTON RED 2200 mAh 65002-RD 2200mAh",1,1,"Taxable Goods","Katalog, Suche","Block nach Info-Spalte","Konfiguration verwenden",10000,0,1,1,1,1,"beschreibung= Aluminium, Rechteckiger Korpus, CE-Kennzeichnung, weiße Geschenkverpackung,druckbereich=90 x 13,farbe=rot,gewicht=75 g,material= Aluminium,zolltarifnummer=85076000","Category ""Default Category/Elektronik & Technik "" has not been created. URL-Schlüssel für angegebenen Store ist bereits vorhanden."
